"Interstitials","Vacancies","ExcessInterstitialFraction","VacancySupersaturation","VoidNucleationRate","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.5085e-09,6.3134e-09,-nan,0,0,1,2100,2100,0,0
5.2699e-09,4.3305e-09,-nan,0,0,1,2130,2130,0,0
5.0373e-09,2.9967e-09,-nan,0,0,1,2160,2160,0,0
4.8104e-09,2.0921e-09,-nan,0,0,1,2190,2190,0,0
4.5889e-09,1.4735e-09,-nan,0,0,1,2220,2220,0,0
4.3725e-09,1.0471e-09,-nan,0,0,1,2250,2250,0,0
4.161e-09,7.5075e-10,-nan,0,0,1,2280,2280,0,0
3.9541e-09,5.4314e-10,-nan,0,0,1,2310,2310,0,0
3.7517e-09,3.9652e-10,-nan,0,0,1,2340,2340,0,0
3.5535e-09,2.9215e-10,-nan,0,0,1,2370,2370,0,0
3.3593e-09,2.1726e-10,-nan,0,0,1,2400,2400,0,0
3.1689e-09,1.6311e-10,-nan,0,0,1,2430,2430,0,0
2.9819e-09,1.2363e-10,-nan,0,0,1,2460,2460,0,0
2.7984e-09,9.4629e-11,-nan,0,0,1,2490,2490,0,0
2.6179e-09,7.3151e-11,-nan,0,0,1,2520,2520,0,0
2.4404e-09,5.7118e-11,-nan,0,0,1,2550,2550,0,0
2.2656e-09,4.5048e-11,-nan,0,0,1,2580,2580,0,0
2.0933e-09,3.5883e-11,-nan,0,0,1,2610,2610,0,0
1.9234e-09,2.8858e-11,-nan,0,0,1,2640,2640,0,0
1.7557e-09,2.3415e-11,-nan,0,0,1,2670,2670,0,0
1.5899e-09,1.9146e-11,-nan,0,0,1,2700,2700,0,0
1.4259e-09,1.5747e-11,-nan,0,0,1,2730,2730,0,0
1.2634e-09,1.2991e-11,-nan,0,0,1,2760,2760,0,0
1.1024e-09,1.0708e-11,-nan,0,0,1,2790,2790,0,0
9.4267e-10,8.7648e-12,-nan,0,0,1,2820,2820,0,0
7.8395e-10,7.0614e-12,-nan,0,0,1,2850,2850,0,0
6.2611e-10,5.52e-12,-nan,0,0,1,2880,2880,0,0
4.6897e-10,4.0809e-12,-nan,0,0,1,2910,2910,0,0
3.1236e-10,2.7e-12,-nan,0,0,1,2940,2940,0,0
1.5609e-10,1.346e-12,-nan,0,0,1,2970,2970,0,0
0,0,-nan,0,0,1,3000,3000,0,0
