"Interstitials","Vacancies","ExcessInterstitialFraction","VacancySupersaturation","VoidNucleationRate","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,8.3655e-07,52793,8.2481e+10,1,0,0,0,0
3.3964e-08,0.00056477,7.8121e-07,2.0094e+05,1.1482e+14,1,30,30,0,0
4.3563e-08,0.00072091,1.0282e-06,2.7772e+05,6.6238e+14,1,60,60,0,0
4.6247e-08,0.00076096,1.5897e-06,2.9385e+05,8.992e+14,1,90,90,0,0
4.7451e-08,0.00077604,2.0127e-06,2.9585e+05,9.3293e+14,1,120,120,0,0
4.8498e-08,0.00078831,1.9012e-06,2.9604e+05,9.3613e+14,1,150,150,0,0
4.9494e-08,0.00079955,2.7748e-06,2.9547e+05,9.2644e+14,1,180,180,0,0
5.043e-08,0.00080962,3.5395e-06,2.942e+05,9.0505e+14,1,210,210,0,0
5.1556e-08,0.00082268,3.9414e-06,2.9395e+05,9.0087e+14,1,240,240,0,0
5.2667e-08,0.00083529,4.6232e-06,2.9339e+05,8.917e+14,1,270,270,0,0
5.3722e-08,0.00084675,5.7309e-06,2.9233e+05,8.743e+14,1,300,300,0,0
5.4845e-08,0.00085918,6.318e-06,2.9119e+05,8.5603e+14,1,330,330,0,0
5.6029e-08,0.00087241,6.9085e-06,2.9026e+05,8.4135e+14,1,360,360,0,0
5.7482e-08,0.00088995,7.8989e-06,2.9068e+05,8.4792e+14,1,390,390,0,0
5.888e-08,0.00090636,8.7914e-06,2.9088e+05,8.5114e+14,1,420,420,0,0
6.0237e-08,0.00092184,1.0304e-05,2.9023e+05,8.4086e+14,1,450,450,0,0
6.1765e-08,0.00093999,1.2212e-05,2.9048e+05,8.4475e+14,1,480,480,0,0
6.3245e-08,0.00095712,1.3829e-05,2.902e+05,8.4038e+14,1,510,510,0,0
6.4831e-08,0.0009758,1.5086e-05,2.9027e+05,8.4152e+14,1,540,540,0,0
6.6383e-08,0.00099371,1.6925e-05,2.8988e+05,8.3542e+14,1,570,570,0,0
6.8129e-08,0.0010147,1.9e-05,2.9032e+05,8.4234e+14,1,600,600,0,0
6.9988e-08,0.0010373,2.1856e-05,2.9143e+05,8.5979e+14,1,630,630,0,0
7.1804e-08,0.0010591,2.5463e-05,2.9214e+05,8.712e+14,1,660,660,0,0
7.3661e-08,0.0010814,2.8626e-05,2.9276e+05,8.8127e+14,1,690,690,0,0
7.5652e-08,0.0011058,3.2289e-05,2.9404e+05,9.0242e+14,1,720,720,0,0
7.7524e-08,0.0011281,3.7089e-05,2.9473e+05,9.1397e+14,1,750,750,0,0
7.9373e-08,0.00115,4.2551e-05,2.9503e+05,9.1889e+14,1,780,780,0,0
8.1068e-08,0.0011693,4.8401e-05,2.9438e+05,9.081e+14,1,810,810,0,0
8.2813e-08,0.0011896,5.4199e-05,2.9395e+05,9.0082e+14,1,840,840,0,0
8.4563e-08,0.00121,6.3113e-05,2.9393e+05,9.005e+14,1,870,870,0,0
8.5923e-08,0.0012242,7.0196e-05,2.9197e+05,8.6843e+14,1,900,900,0,0
8.7094e-08,0.0012356,7.9704e-05,2.8873e+05,8.176e+14,1,930,930,0,0
8.7841e-08,0.0012403,9.0314e-05,2.8394e+05,7.4674e+14,1,960,960,0,0
8.8184e-08,0.0012389,0.00010346,2.767e+05,6.4934e+14,1,990,990,0,0
8.8083e-08,0.0012308,0.00011698,2.6786e+05,5.4463e+14,1,1020,1020,0,0
8.7295e-08,0.0012121,0.00013373,2.5572e+05,4.2362e+14,1,1050,1050,0,0
8.5701e-08,0.001181,0.00014903,2.3963e+05,2.9796e+14,1,1080,1080,0,0
8.3311e-08,0.0011378,0.00017077,2.1971e+05,1.862e+14,1,1110,1110,0,0
8.0089e-08,0.0010819,0.00019408,1.9598e+05,1.0028e+14,1,1140,1140,0,0
7.6091e-08,0.0010144,0.00021532,1.6867e+05,4.4492e+13,1,1170,1170,0,0
7.1305e-08,0.0009351,0.00024959,1.3811e+05,1.507e+13,1,1200,1200,0,0
6.5698e-08,0.00084345,0.00028068,1.0376e+05,3.203e+12,1,1230,1230,0,0
5.9405e-08,0.00074161,0.00031863,66341,2.8418e+11,1,1260,1260,0,0
5.2821e-08,0.00063605,0.0003571,28162,2.7444e+09,1,1290,1290,0,0
4.5985e-08,0.00052722,0.00040556,0,0,1,1320,1320,0,0
3.9296e-08,0.00042159,0.00045832,0,0,1,1350,1350,0,0
3.3039e-08,0.0003237,0.00051988,0,0,1,1380,1380,0,0
2.7464e-08,0.00023753,0.00057689,0,0,1,1410,1410,0,0
2.2768e-08,0.00016621,0.00065189,0,0,1,1440,1440,0,0
1.9053e-08,0.00011129,0.00072032,0,0,1,1470,1470,0,0
1.6244e-08,7.1427e-05,0.00079136,0,0,1,1500,1500,0,0
1.4202e-08,4.4264e-05,0.00091995,0,0,1,1530,1530,0,0
1.2734e-08,2.6541e-05,0.0010652,0,0,1,1560,1560,0,0
1.1682e-08,1.5571e-05,0.0014708,0,0,1,1590,1590,0,0
1.091e-08,9.1191e-06,0.0014107,0,0,1,1620,1620,0,0
1.0313e-08,5.3768e-06,0.0011991,0,0,1,1650,1650,0,0
9.8194e-09,3.2009e-06,0.0064965,0,0,1,1680,1680,0,0
9.3908e-09,1.9271e-06,-nan,0,0,1,1710,1710,0,0
9.0036e-09,1.1727e-06,-nan,0,0,1,1740,1740,0,0
8.6445e-09,7.2085e-07,-nan,0,0,1,1770,1770,0,0
8.3056e-09,4.4749e-07,-nan,0,0,1,1800,1800,0,0
7.9823e-09,2.8046e-07,-nan,0,0,1,1830,1830,0,0
7.6718e-09,1.7744e-07,-nan,0,0,1,1860,1860,0,0
7.3722e-09,1.133e-07,-nan,0,0,1,1890,1890,0,0
7.0822e-09,7.3014e-08,-nan,0,0,1,1920,1920,0,0
6.801e-09,4.748e-08,-nan,0,0,1,1950,1950,0,0
6.528e-09,3.1155e-08,-nan,0,0,1,1980,1980,0,0
6.2626e-09,2.0627e-08,-nan,0,0,1,2010,2010,0,0
6.0045e-09,1.3778e-08,-nan,0,0,1,2040,2040,0,0
5.7532e-09,9.2856e-09,-nan,0,0,1,2070,2070,0,0
