"VoidNucleationRate","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.4565e+07,1,0,0,0,0
4.9737e+10,1,30,30,0,0
4.8349e+11,1,60,60,0,0
8.6289e+11,1,90,90,0,0
1.0153e+12,1,120,120,0,0
1.0784e+12,1,150,150,0,0
1.1079e+12,1,180,180,0,0
1.1231e+12,1,210,210,0,0
1.1532e+12,1,240,240,0,0
1.1829e+12,1,270,270,0,0
1.2084e+12,1,300,300,0,0
1.2372e+12,1,330,330,0,0
1.2762e+12,1,360,360,0,0
1.344e+12,1,390,390,0,0
1.4169e+12,1,420,420,0,0
1.483e+12,1,450,450,0,0
1.5719e+12,1,480,480,0,0
1.6613e+12,1,510,510,0,0
1.7664e+12,1,540,540,0,0
1.8746e+12,1,570,570,0,0
2.015e+12,1,600,600,0,0
2.1885e+12,1,630,630,0,0
2.3711e+12,1,660,660,0,0
2.5695e+12,1,690,690,0,0
2.8064e+12,1,720,720,0,0
3.0453e+12,1,750,750,0,0
3.284e+12,1,780,780,0,0
3.5026e+12,1,810,810,0,0
3.7383e+12,1,840,840,0,0
3.9953e+12,1,870,870,0,0
4.166e+12,1,900,900,0,0
4.2577e+12,1,930,930,0,0
4.245e+12,1,960,960,0,0
4.0859e+12,1,990,990,0,0
3.815e+12,1,1020,1020,0,0
3.3802e+12,1,1050,1050,0,0
2.8029e+12,1,1080,1080,0,0
2.1589e+12,1,1110,1110,0,0
1.528e+12,1,1140,1140,0,0
9.8101e+11,1,1170,1170,0,0
5.6119e+11,1,1200,1200,0,0
2.749e+11,1,1230,1230,0,0
1.1118e+11,1,1260,1260,0,0
3.6319e+10,1,1290,1290,0,0
8.8494e+09,1,1320,1320,0,0
1.472e+09,1,1350,1350,0,0
1.4448e+08,1,1380,1380,0,0
5.7633e+06,1,1410,1410,0,0
26214,1,1440,1440,0,0
0,1,1470,1470,0,0
0,1,1500,1500,0,0
0,1,1530,1530,0,0
0,1,1560,1560,0,0
0,1,1590,1590,0,0
0,1,1620,1620,0,0
0,1,1650,1650,0,0
0,1,1680,1680,0,0
0,1,1710,1710,0,0
0,1,1740,1740,0,0
0,1,1770,1770,0,0
0,1,1800,1800,0,0
0,1,1830,1830,0,0
0,1,1860,1860,0,0
0,1,1890,1890,0,0
0,1,1920,1920,0,0
0,1,1950,1950,0,0
0,1,1980,1980,0,0
0,1,2010,2010,0,0
0,1,2040,2040,0,0
0,1,2070,2070,0,0
0,1,2100,2100,0,0
0,1,2130,2130,0,0
0,1,2160,2160,0,0
0,1,2190,2190,0,0
0,1,2220,2220,0,0
0,1,2250,2250,0,0
0,1,2280,2280,0,0
0,1,2310,2310,0,0
0,1,2340,2340,0,0
0,1,2370,2370,0,0
0,1,2400,2400,0,0
0,1,2430,2430,0,0
0,1,2460,2460,0,0
0,1,2490,2490,0,0
0,1,2520,2520,0,0
0,1,2550,2550,0,0
0,1,2580,2580,0,0
0,1,2610,2610,0,0
0,1,2640,2640,0,0
0,1,2670,2670,0,0
0,1,2700,2700,0,0
0,1,2730,2730,0,0
0,1,2760,2760,0,0
0,1,2790,2790,0,0
0,1,2820,2820,0,0
0,1,2850,2850,0,0
0,1,2880,2880,0,0
0,1,2910,2910,0,0
0,1,2940,2940,0,0
0,1,2970,2970,0,0
0,1,3000,3000,0,0
