====== Fe (3500) into Fe                        =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Fe   Energy = 3500 keV
============= TARGET MATERIAL ======================================
Layer  1 : Fe
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 11492 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  2255.44E-05  3634.36E-04  
400010.E-03  2406.14E-05  3885.67E-04  
600010.E-03  2454.04E-05  3896.88E-04  
800010.E-03  2507.94E-05  3862.97E-04  
100001.E-02  2526.71E-05  4263.55E-04  
120001.E-02  2566.45E-05  4375.47E-04  
140001.E-02  2595.23E-05  4773.30E-04  
160001.E-02  2666.25E-05  4543.58E-04  
180001.E-02  2705.48E-05  4565.56E-04  
200001.E-02  2760.34E-05  4942.12E-04  
220001.E-02  2813.29E-05  4980.74E-04  
240001.E-02  2852.38E-05  5383.83E-04  
260001.E-02  2927.00E-05  5278.89E-04  
280001.E-02  2984.16E-05  5618.08E-04  
300001.E-02  2996.77E-05  5312.98E-04  
320001.E-02  3086.86E-05  5872.86E-04  
340001.E-02  3124.99E-05  6122.10E-04  
360001.E-02  3181.25E-05  6248.41E-04  
380001.E-02  3243.51E-05  6018.55E-04  
400001.E-02  3317.93E-05  6555.32E-04  
420001.E-02  3370.18E-05  6449.34E-04  
440001.E-02  3421.48E-05  6489.37E-04  
460001.E-02  3479.04E-05  6704.74E-04  
480001.E-02  3507.57E-05  6957.75E-04  
500001.E-02  3525.53E-05  7494.54E-04  
520001.E-02  3559.47E-05  7373.29E-04  
540001.E-02  3531.59E-05  7691.17E-04  
560001.E-02  3510.77E-05  8013.77E-04  
580001.E-02  3479.29E-05  8072.64E-04  
600001.E-02  3488.45E-05  8196.63E-04  
620001.E-02  3499.36E-05  8614.81E-04  
640001.E-02  3582.94E-05  8619.80E-04  
660001.E-02  3702.01E-05  9307.38E-04  
680001.E-02  3743.00E-05  9151.55E-04  
700001.E-02  3839.24E-05  9822.16E-04  
720001.E-02  3908.76E-05  1025.36E-03  
740001.E-02  4086.63E-05  1069.01E-03  
760001.E-02  4218.86E-05  1023.83E-03  
780001.E-02  4342.28E-05  1124.48E-03  
800001.E-02  4449.03E-05  1165.18E-03  
820001.E-02  4488.07E-05  1186.72E-03  
840001.E-02  4593.28E-05  1184.82E-03  
860001.E-02  4689.92E-05  1279.11E-03  
880001.E-02  4827.95E-05  1257.36E-03  
900001.E-02  4820.95E-05  1249.63E-03  
920001.E-02  4946.67E-05  1281.69E-03  
940001.E-02  4987.26E-05  1293.22E-03  
960001.E-02  5087.21E-05  1349.22E-03  
980001.E-02  5079.65E-05  1325.54E-03  
100000.E-01  5092.41E-05  1319.48E-03  
102000.E-01  5182.40E-05  1346.89E-03  
104000.E-01  5189.91E-05  1348.22E-03  
106000.E-01  5073.39E-05  1274.09E-03  
108000.E-01  4934.56E-05  1262.91E-03  
110000.E-01  4813.84E-05  1233.03E-03  
112000.E-01  4734.01E-05  1166.00E-03  
114000.E-01  4371.76E-05  1064.31E-03  
116000.E-01  4085.53E-05  9965.59E-04  
118000.E-01  3718.27E-05  8917.48E-04  
120000.E-01  3466.68E-05  8126.89E-04  
122000.E-01  3036.96E-05  7125.54E-04  
124000.E-01  2660.59E-05  6197.04E-04  
126000.E-01  2202.89E-05  4986.31E-04  
128000.E-01  1849.30E-05  4143.03E-04  
130000.E-01  1569.83E-05  3684.06E-04  
132000.E-01  1304.32E-05  2906.28E-04  
134000.E-01  9891.53E-06  2181.81E-04  
136000.E-01  7532.32E-06  1615.04E-04  
138000.E-01  5488.25E-06  1070.12E-04  
140000.E-01  4095.45E-06  8336.17E-05  
142000.E-01  2876.82E-06  5467.98E-05  
144000.E-01  1790.50E-06  3497.51E-05  
146000.E-01  1181.52E-06  2202.78E-05  
148000.E-01  7570.13E-07  1201.50E-05  
150000.E-01  6115.09E-07  1040.82E-05  
152000.E-01  2605.01E-07  3804.19E-06  
154000.E-01  1195.00E-07  2813.54E-06  
156000.E-01  2900.00E-08  2541.01E-07  
158000.E-01  0000.00E+00  0000.00E+00  
160000.E-01  0000.00E+00  0000.00E+00  
162000.E-01  0000.00E+00  0000.00E+00  
164000.E-01  0000.00E+00  0000.00E+00  
166000.E-01  0000.00E+00  0000.00E+00  
168000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
