====== Fe (3500) into Fe                        =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Fe   Energy = 3500 keV
============= TARGET MATERIAL ======================================
Layer  1 : Fe
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 11524 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  2245.68E-05  3878.36E-04  
400010.E-03  2415.40E-05  4111.00E-04  
600010.E-03  2463.85E-05  4355.81E-04  
800010.E-03  2493.53E-05  4084.72E-04  
100001.E-02  2543.48E-05  4248.85E-04  
120001.E-02  2570.80E-05  4632.87E-04  
140001.E-02  2615.15E-05  4719.87E-04  
160001.E-02  2646.43E-05  4549.69E-04  
180001.E-02  2719.25E-05  4663.86E-04  
200001.E-02  2764.94E-05  5095.68E-04  
220001.E-02  2812.24E-05  5043.23E-04  
240001.E-02  2867.79E-05  4985.97E-04  
260001.E-02  2908.33E-05  5038.28E-04  
280001.E-02  2956.88E-05  5536.70E-04  
300001.E-02  3018.74E-05  5704.62E-04  
320001.E-02  3054.67E-05  5443.53E-04  
340001.E-02  3106.52E-05  5623.25E-04  
360001.E-02  3130.70E-05  5734.56E-04  
380001.E-02  3222.54E-05  5931.58E-04  
400001.E-02  3279.09E-05  6150.90E-04  
420001.E-02  3344.46E-05  6174.13E-04  
440001.E-02  3388.70E-05  6527.33E-04  
460001.E-02  3451.16E-05  6528.05E-04  
480001.E-02  3506.51E-05  7286.08E-04  
500001.E-02  3539.10E-05  7234.35E-04  
520001.E-02  3547.20E-05  7115.89E-04  
540001.E-02  3537.14E-05  7964.72E-04  
560001.E-02  3508.97E-05  8141.13E-04  
580001.E-02  3506.41E-05  8251.08E-04  
600001.E-02  3495.35E-05  8478.88E-04  
620001.E-02  3523.53E-05  8957.50E-04  
640001.E-02  3624.08E-05  9591.06E-04  
660001.E-02  3665.02E-05  9448.16E-04  
680001.E-02  3807.66E-05  9672.83E-04  
700001.E-02  3914.91E-05  9995.78E-04  
720001.E-02  3982.33E-05  1039.22E-03  
740001.E-02  4068.36E-05  1042.38E-03  
760001.E-02  4145.84E-05  1048.82E-03  
780001.E-02  4240.33E-05  1103.85E-03  
800001.E-02  4398.69E-05  1130.18E-03  
820001.E-02  4524.86E-05  1166.25E-03  
840001.E-02  4676.46E-05  1257.48E-03  
860001.E-02  4768.75E-05  1278.69E-03  
880001.E-02  4832.46E-05  1268.18E-03  
900001.E-02  4944.12E-05  1291.88E-03  
920001.E-02  5009.18E-05  1281.32E-03  
940001.E-02  4957.38E-05  1305.19E-03  
960001.E-02  5006.23E-05  1319.26E-03  
980001.E-02  5149.72E-05  1360.16E-03  
100000.E-01  5189.86E-05  1346.81E-03  
102000.E-01  5110.98E-05  1310.67E-03  
104000.E-01  4970.14E-05  1289.03E-03  
106000.E-01  5032.25E-05  1340.71E-03  
108000.E-01  4899.07E-05  1255.51E-03  
110000.E-01  4723.80E-05  1187.46E-03  
112000.E-01  4462.20E-05  1137.61E-03  
114000.E-01  4331.42E-05  1056.49E-03  
116000.E-01  3828.98E-05  9383.21E-04  
118000.E-01  3651.41E-05  8900.06E-04  
120000.E-01  3344.11E-05  7957.34E-04  
122000.E-01  3086.96E-05  7304.37E-04  
124000.E-01  2665.44E-05  6199.57E-04  
126000.E-01  2367.65E-05  5409.37E-04  
128000.E-01  1945.74E-05  4345.68E-04  
130000.E-01  1624.03E-05  3610.52E-04  
132000.E-01  1324.79E-05  2848.41E-04  
134000.E-01  1025.23E-05  2192.66E-04  
136000.E-01  8031.05E-06  1663.64E-04  
138000.E-01  5633.28E-06  1149.52E-04  
140000.E-01  4033.44E-06  8289.78E-05  
142000.E-01  2732.34E-06  5085.86E-05  
144000.E-01  1915.48E-06  3567.21E-05  
146000.E-01  1281.02E-06  2369.06E-05  
148000.E-01  7735.13E-07  1316.22E-05  
150000.E-01  3190.03E-07  7189.27E-06  
152000.E-01  1690.00E-07  2629.84E-06  
154000.E-01  8099.99E-08  1035.79E-06  
156000.E-01  1800.00E-08  2664.04E-07  
158000.E-01  0000.00E+00  0000.00E+00  
160000.E-01  0000.00E+00  0000.00E+00  
162000.E-01  0000.00E+00  0000.00E+00  
164000.E-01  0000.00E+00  0000.00E+00  
166000.E-01  0000.00E+00  0000.00E+00  
168000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
