====== Fe (3500) into Fe                        =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Fe   Energy = 3500 keV
============= TARGET MATERIAL ======================================
Layer  1 : Fe
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 11498 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  2257.30E-05  3827.40E-04  
400010.E-03  2422.86E-05  4062.29E-04  
600010.E-03  2465.35E-05  4135.44E-04  
800010.E-03  2510.99E-05  4234.69E-04  
100001.E-02  2526.06E-05  4301.62E-04  
120001.E-02  2586.22E-05  4274.71E-04  
140001.E-02  2619.00E-05  4568.81E-04  
160001.E-02  2660.69E-05  4480.57E-04  
180001.E-02  2708.94E-05  4464.23E-04  
200001.E-02  2744.52E-05  5106.30E-04  
220001.E-02  2803.18E-05  4756.63E-04  
240001.E-02  2851.33E-05  5135.34E-04  
260001.E-02  2905.93E-05  4977.82E-04  
280001.E-02  2947.27E-05  4920.09E-04  
300001.E-02  2979.55E-05  5607.23E-04  
320001.E-02  3050.42E-05  5342.60E-04  
340001.E-02  3093.26E-05  5526.26E-04  
360001.E-02  3158.63E-05  6043.53E-04  
380001.E-02  3205.27E-05  6304.71E-04  
400001.E-02  3272.34E-05  6247.82E-04  
420001.E-02  3356.17E-05  6388.48E-04  
440001.E-02  3437.75E-05  7067.27E-04  
460001.E-02  3467.58E-05  6775.07E-04  
480001.E-02  3503.96E-05  6760.80E-04  
500001.E-02  3528.09E-05  7264.21E-04  
520001.E-02  3551.51E-05  7461.68E-04  
540001.E-02  3581.09E-05  8239.83E-04  
560001.E-02  3593.25E-05  8106.31E-04  
580001.E-02  3544.90E-05  8265.86E-04  
600001.E-02  3524.23E-05  8298.48E-04  
620001.E-02  3587.29E-05  8507.39E-04  
640001.E-02  3610.32E-05  9132.93E-04  
660001.E-02  3696.15E-05  8858.39E-04  
680001.E-02  3794.95E-05  9152.34E-04  
700001.E-02  3899.00E-05  9803.19E-04  
720001.E-02  3985.58E-05  1027.19E-03  
740001.E-02  4076.92E-05  1060.41E-03  
760001.E-02  4192.98E-05  1089.62E-03  
780001.E-02  4270.96E-05  1093.29E-03  
800001.E-02  4444.88E-05  1126.56E-03  
820001.E-02  4554.74E-05  1190.19E-03  
840001.E-02  4692.22E-05  1210.94E-03  
860001.E-02  4707.29E-05  1254.86E-03  
880001.E-02  4734.96E-05  1227.81E-03  
900001.E-02  4859.69E-05  1283.54E-03  
920001.E-02  4944.02E-05  1288.51E-03  
940001.E-02  5005.43E-05  1328.89E-03  
960001.E-02  5074.09E-05  1342.44E-03  
980001.E-02  5046.62E-05  1280.68E-03  
100000.E-01  5108.83E-05  1334.02E-03  
102000.E-01  5120.14E-05  1316.93E-03  
104000.E-01  5184.55E-05  1339.45E-03  
106000.E-01  5067.34E-05  1267.40E-03  
108000.E-01  4849.53E-05  1219.53E-03  
110000.E-01  4773.80E-05  1201.88E-03  
112000.E-01  4533.82E-05  1110.61E-03  
114000.E-01  4347.94E-05  1091.68E-03  
116000.E-01  3972.42E-05  9820.14E-04  
118000.E-01  3704.51E-05  8921.50E-04  
120000.E-01  3493.00E-05  8456.05E-04  
122000.E-01  3183.75E-05  7417.29E-04  
124000.E-01  2836.41E-05  6330.18E-04  
126000.E-01  2412.80E-05  5573.10E-04  
128000.E-01  2050.64E-05  4541.20E-04  
130000.E-01  1713.07E-05  3794.94E-04  
132000.E-01  1422.08E-05  3012.97E-04  
134000.E-01  1125.08E-05  2369.23E-04  
136000.E-01  8470.31E-06  1778.24E-04  
138000.E-01  6009.36E-06  1213.28E-04  
140000.E-01  4043.94E-06  7893.75E-05  
142000.E-01  2754.34E-06  5216.47E-05  
144000.E-01  1790.00E-06  3314.25E-05  
146000.E-01  1174.02E-06  2410.11E-05  
148000.E-01  8345.14E-07  1782.90E-05  
150000.E-01  5195.07E-07  9461.88E-06  
152000.E-01  2960.02E-07  4833.03E-06  
154000.E-01  1700.00E-07  2308.80E-06  
156000.E-01  9349.99E-08  2089.03E-06  
158000.E-01  6500.00E-08  6283.00E-07  
160000.E-01  2900.00E-08  7401.31E-07  
162000.E-01  1300.00E-08  8434.80E-08  
164000.E-01  1950.00E-08  2286.74E-07  
166000.E-01  0000.00E+00  0000.00E+00  
168000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
