====== Fe (3500) into Fe                        =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Fe   Energy = 3500 keV
============= TARGET MATERIAL ======================================
Layer  1 : Fe
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 11505 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  2252.89E-05  3429.02E-04  
400010.E-03  2430.87E-05  4323.62E-04  
600010.E-03  2463.35E-05  4160.48E-04  
800010.E-03  2498.13E-05  4202.77E-04  
100001.E-02  2540.07E-05  4563.96E-04  
120001.E-02  2586.52E-05  4349.97E-04  
140001.E-02  2626.16E-05  4548.76E-04  
160001.E-02  2678.21E-05  4633.85E-04  
180001.E-02  2694.92E-05  4563.99E-04  
200001.E-02  2770.30E-05  5086.99E-04  
220001.E-02  2812.74E-05  4981.75E-04  
240001.E-02  2859.83E-05  5180.34E-04  
260001.E-02  2912.74E-05  5350.67E-04  
280001.E-02  2974.90E-05  5580.42E-04  
300001.E-02  3029.15E-05  5689.17E-04  
320001.E-02  3056.43E-05  5775.91E-04  
340001.E-02  3125.14E-05  5670.05E-04  
360001.E-02  3190.41E-05  5733.91E-04  
380001.E-02  3225.64E-05  5876.05E-04  
400001.E-02  3298.81E-05  6826.66E-04  
420001.E-02  3385.60E-05  6851.46E-04  
440001.E-02  3410.17E-05  6305.34E-04  
460001.E-02  3446.41E-05  7393.64E-04  
480001.E-02  3485.24E-05  7102.94E-04  
500001.E-02  3529.99E-05  7296.01E-04  
520001.E-02  3534.09E-05  7235.16E-04  
540001.E-02  3576.18E-05  8245.89E-04  
560001.E-02  3481.69E-05  7868.88E-04  
580001.E-02  3484.39E-05  7860.05E-04  
600001.E-02  3439.45E-05  8196.77E-04  
620001.E-02  3512.17E-05  8675.73E-04  
640001.E-02  3601.16E-05  8965.87E-04  
660001.E-02  3679.98E-05  9070.58E-04  
680001.E-02  3769.62E-05  9366.06E-04  
700001.E-02  3865.72E-05  9805.61E-04  
720001.E-02  3941.84E-05  1011.96E-03  
740001.E-02  4055.55E-05  1023.84E-03  
760001.E-02  4190.68E-05  1067.24E-03  
780001.E-02  4265.31E-05  1091.56E-03  
800001.E-02  4377.56E-05  1101.73E-03  
820001.E-02  4469.20E-05  1191.10E-03  
840001.E-02  4597.68E-05  1190.17E-03  
860001.E-02  4738.67E-05  1256.52E-03  
880001.E-02  4860.94E-05  1251.58E-03  
900001.E-02  4882.76E-05  1334.43E-03  
920001.E-02  5053.92E-05  1297.80E-03  
940001.E-02  5130.80E-05  1293.07E-03  
960001.E-02  5096.02E-05  1311.01E-03  
980001.E-02  5093.46E-05  1296.19E-03  
100000.E-01  5204.67E-05  1314.92E-03  
102000.E-01  5161.88E-05  1346.75E-03  
104000.E-01  5066.64E-05  1310.80E-03  
106000.E-01  4948.87E-05  1286.05E-03  
108000.E-01  4819.30E-05  1212.00E-03  
110000.E-01  4748.83E-05  1225.02E-03  
112000.E-01  4599.23E-05  1121.61E-03  
114000.E-01  4198.14E-05  1039.17E-03  
116000.E-01  3946.04E-05  9824.70E-04  
118000.E-01  3753.61E-05  9023.25E-04  
120000.E-01  3373.64E-05  8324.02E-04  
122000.E-01  3020.19E-05  7267.99E-04  
124000.E-01  2746.67E-05  6494.22E-04  
126000.E-01  2417.80E-05  5463.56E-04  
128000.E-01  1976.97E-05  4599.11E-04  
130000.E-01  1628.58E-05  3519.54E-04  
132000.E-01  1344.81E-05  2887.82E-04  
134000.E-01  1028.68E-05  2265.97E-04  
136000.E-01  8252.93E-06  1597.31E-04  
138000.E-01  5897.34E-06  1230.01E-04  
140000.E-01  4181.47E-06  8356.47E-05  
142000.E-01  2924.81E-06  5968.16E-05  
144000.E-01  1792.00E-06  3285.83E-05  
146000.E-01  1073.52E-06  2114.59E-05  
148000.E-01  6510.10E-07  1311.78E-05  
150000.E-01  2455.01E-07  4765.13E-06  
152000.E-01  5350.00E-08  7842.82E-07  
154000.E-01  7799.99E-08  1113.06E-06  
156000.E-01  4450.00E-08  9252.33E-07  
158000.E-01  0000.00E+00  0000.00E+00  
160000.E-01  0000.00E+00  0000.00E+00  
162000.E-01  0000.00E+00  0000.00E+00  
164000.E-01  0000.00E+00  0000.00E+00  
166000.E-01  0000.00E+00  0000.00E+00  
168000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
