"Interstitials","Vacancies","VacancySupersaturation","VoidNucleationRate","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,54579,9.8766e+10,1,0,0,0,0
3.3685e-08,0.00056943,2.0987e+05,1.4531e+14,1,30,30,0,0
4.3006e-08,0.00073025,2.9737e+05,9.5921e+14,1,60,60,0,0
4.541e-08,0.00077497,3.2424e+05,1.5322e+15,1,90,90,0,0
4.6335e-08,0.00079473,3.37e+05,1.8886e+15,1,120,120,0,0
4.71e-08,0.00081169,3.4798e+05,2.2466e+15,1,150,150,0,0
4.7813e-08,0.00082764,3.5825e+05,2.6296e+15,1,180,180,0,0
4.8465e-08,0.00084243,3.6785e+05,3.0349e+15,1,210,210,0,0
4.9305e-08,0.00086023,3.7853e+05,3.5437e+15,1,240,240,0,0
5.0127e-08,0.0008776,3.8897e+05,4.1062e+15,1,270,270,0,0
5.089e-08,0.00089385,3.9897e+05,4.7111e+15,1,300,300,0,0
5.172e-08,0.00091108,4.0896e+05,5.3866e+15,1,330,330,0,0
5.2607e-08,0.00092914,4.1925e+05,6.1619e+15,1,360,360,0,0
5.3761e-08,0.00095153,4.3096e+05,7.1533e+15,1,390,390,0,0
5.4857e-08,0.00097282,4.4254e+05,8.2583e+15,1,420,420,0,0
5.5907e-08,0.00099321,4.5336e+05,9.4123e+15,1,450,450,0,0
5.7126e-08,0.0010163,4.6516e+05,1.0818e+16,1,480,480,0,0
5.8293e-08,0.0010384,4.7652e+05,1.2328e+16,1,510,510,0,0
5.9564e-08,0.0010621,4.8832e+05,1.4073e+16,1,540,540,0,0
6.0797e-08,0.001085,4.9972e+05,1.5947e+16,1,570,570,0,0
6.2222e-08,0.0011109,5.1202e+05,1.8192e+16,1,600,600,0,0
6.3757e-08,0.0011386,5.2504e+05,2.0841e+16,1,630,630,0,0
6.5248e-08,0.0011654,5.3769e+05,2.3711e+16,1,660,660,0,0
6.678e-08,0.0011927,5.5026e+05,2.6871e+16,1,690,690,0,0
6.8445e-08,0.0012221,5.6346e+05,3.055e+16,1,720,720,0,0
6.9993e-08,0.0012494,5.7599e+05,3.4414e+16,1,750,750,0,0
7.1521e-08,0.0012762,5.8798e+05,3.8479e+16,1,780,780,0,0
7.2898e-08,0.0013003,5.9884e+05,4.2488e+16,1,810,810,0,0
7.4333e-08,0.0013251,6.0964e+05,4.6805e+16,1,840,840,0,0
7.5782e-08,0.0013501,6.2049e+05,5.1498e+16,1,870,870,0,0
7.6854e-08,0.0013685,6.2892e+05,5.5399e+16,1,900,900,0,0
7.7752e-08,0.0013838,6.3547e+05,5.8597e+16,1,930,930,0,0
7.8246e-08,0.0013922,6.3972e+05,6.0751e+16,1,960,960,0,0
7.8359e-08,0.001394,6.4062e+05,6.1219e+16,1,990,990,0,0
7.8056e-08,0.0013886,6.3886e+05,6.0309e+16,1,1020,1020,0,0
7.7099e-08,0.0013721,6.3253e+05,5.7144e+16,1,1050,1050,0,0
7.5372e-08,0.0013425,6.2082e+05,5.1646e+16,1,1080,1080,0,0
7.2889e-08,0.0013,6.037e+05,4.4388e+16,1,1110,1110,0,0
6.9618e-08,0.0012441,5.8107e+05,3.609e+16,1,1140,1140,0,0
6.5614e-08,0.0011758,5.5305e+05,2.7618e+16,1,1170,1170,0,0
6.0866e-08,0.0010949,5.1998e+05,1.9776e+16,1,1200,1200,0,0
5.5337e-08,0.0010007,4.813e+05,1.3012e+16,1,1230,1230,0,0
4.9157e-08,0.00089552,4.3782e+05,7.7927e+15,1,1260,1260,0,0
4.2713e-08,0.00078579,3.9204e+05,4.2847e+15,1,1290,1290,0,0
3.603e-08,0.00067198,3.4446e+05,2.1264e+15,1,1320,1320,0,0
2.9494e-08,0.00056057,2.9726e+05,9.5719e+14,1,1350,1350,0,0
2.3375e-08,0.00045612,2.527e+05,3.9723e+14,1,1380,1380,0,0
1.7908e-08,0.00036259,2.1217e+05,1.5414e+14,1,1410,1410,0,0
1.3283e-08,0.00028316,1.772e+05,5.8113e+13,1,1440,1440,0,0
9.6035e-09,0.0002196,1.486e+05,2.2406e+13,1,1470,1470,0,0
6.807e-09,0.00017086,1.2614e+05,9.2249e+12,1,1500,1500,0,0
4.7756e-09,0.00013499,1.0908e+05,4.1982e+12,1,1530,1530,0,0
3.3357e-09,0.00010906,96265,2.1341e+12,1,1560,1560,0,0
2.3426e-09,9.0663e-05,86696,1.2105e+12,1,1590,1590,0,0
1.6704e-09,7.7687e-05,79497,7.5703e+11,1,1620,1620,0,0
1.2108e-09,6.8315e-05,73908,5.1011e+11,1,1650,1650,0,0
8.9078e-10,6.1323e-05,69392,3.6254e+11,1,1680,1680,0,0
6.6377e-10,5.593e-05,65606,2.6755e+11,1,1710,1710,0,0
4.9998e-10,5.1636e-05,62331,2.0275e+11,1,1740,1740,0,0
3.8011e-10,4.8117e-05,59425,1.5656e+11,1,1770,1770,0,0
2.9134e-10,4.5156e-05,56793,1.2251e+11,1,1800,1800,0,0
2.2496e-10,4.2607e-05,54371,9.6752e+10,1,1830,1830,0,0
1.7487e-10,4.0365e-05,52114,7.6898e+10,1,1860,1860,0,0
1.3678e-10,3.8359e-05,49988,6.1371e+10,1,1890,1890,0,0
1.0763e-10,3.6535e-05,47970,4.9098e+10,1,1920,1920,0,0
8.5163e-11,3.4855e-05,46043,3.9322e+10,1,1950,1950,0,0
6.7755e-11,3.329e-05,44193,3.1492e+10,1,1980,1980,0,0
5.4189e-11,3.1819e-05,42411,2.5198e+10,1,2010,2010,0,0
4.3564e-11,3.0426e-05,40688,2.0129e+10,1,2040,2040,0,0
3.5199e-11,2.9097e-05,39018,1.6041e+10,1,2070,2070,0,0
2.8583e-11,2.7824e-05,37395,1.2745e+10,1,2100,2100,0,0
2.3325e-11,2.6598e-05,35816,1.009e+10,1,2130,2130,0,0
1.9129e-11,2.5415e-05,34278,7.9549e+09,1,2160,2160,0,0
1.5764e-11,2.4268e-05,32777,6.2417e+09,1,2190,2190,0,0
1.3056e-11,2.3155e-05,31310,4.8711e+09,1,2220,2220,0,0
1.0865e-11,2.2071e-05,29875,3.7786e+09,1,2250,2250,0,0
9.0866e-12,2.1014e-05,28471,2.9114e+09,1,2280,2280,0,0
7.6364e-12,1.9982e-05,27095,2.2264e+09,1,2310,2310,0,0
6.4489e-12,1.8972e-05,25746,1.6884e+09,1,2340,2340,0,0
5.4725e-12,1.7983e-05,24422,1.2686e+09,1,2370,2370,0,0
4.6661e-12,1.7014e-05,23122,9.4323e+08,1,2400,2400,0,0
3.9972e-12,1.6062e-05,21843,6.932e+08,1,2430,2430,0,0
3.4396e-12,1.5127e-05,20586,5.0281e+08,1,2460,2460,0,0
2.9725e-12,1.4208e-05,19348,3.5937e+08,1,2490,2490,0,0
2.5791e-12,1.3302e-05,18128,2.5257e+08,1,2520,2520,0,0
2.2456e-12,1.241e-05,16926,1.7416e+08,1,2550,2550,0,0
1.9611e-12,1.153e-05,15739,1.1748e+08,1,2580,2580,0,0
1.7163e-12,1.0661e-05,14567,7.726e+07,1,2610,2610,0,0
1.504e-12,9.8024e-06,13408,4.9324e+07,1,2640,2640,0,0
1.3178e-12,8.9532e-06,12262,3.0404e+07,1,2670,2670,0,0
1.1528e-12,8.1127e-06,11128,1.7972e+07,1,2700,2700,0,0
1.0046e-12,7.2798e-06,10003,1.0095e+07,1,2730,2730,0,0
8.6969e-13,6.4538e-06,8888.5,5.3232e+06,1,2760,2760,0,0
7.4513e-13,5.634e-06,7781.8,2.5908e+06,1,2790,2790,0,0
6.2839e-13,4.8194e-06,6682.3,1.1355e+06,1,2820,2820,0,0
5.1741e-13,4.0093e-06,5588.9,4.3147e+05,1,2850,2850,0,0
4.1048e-13,3.203e-06,4500.8,1.3356e+05,1,2880,2880,0,0
3.0621e-13,2.3997e-06,3416.7,30031,1,2910,2910,0,0
2.0352e-13,1.5985e-06,2335.9,3829.3,1,2940,2940,0,0
1.0162e-13,7.989e-07,1257.1,133.66,1,2970,2970,0,0
0,0,179.55,0.0035392,1,3000,3000,0,0
